config_from,config_to,hamming_dist
115332,369666,8
115332,370176,6
115332,370178,7
115332,370180,5
115332,370182,6
115332,370304,5
115332,370305,6
115332,370308,4
115332,370432,7
115332,370436,6
115332,370437,7
115332,370560,6
115332,370561,7
115332,370562,7
115332,370563,8
115332,370564,5
115332,370566,6
115332,370567,7
115332,370574,7
115332,371586,7
115332,371590,6
115332,371596,6
115332,372486,8
115332,372609,8
115332,372613,7
115332,372614,7
115332,372615,8
115332,373380,4
115332,376832,4
115332,376833,5
115332,376834,5
115332,376836,3
115332,376837,4
115332,376838,4
115332,376902,5
115332,376964,2
115332,376966,3
115332,377094,5
115332,377344,3
115332,377346,4
115332,377348,2
115332,377349,3
115332,377350,3
115332,377351,4
115332,377414,4
115332,377472,2
115332,377473,3
115332,377476,1
115332,377477,2
115332,377478,2
115332,377600,4
115332,377602,5
115332,377604,3
115332,377606,4
115332,377728,3
115332,377729,4
115332,377730,4
115332,377732,2
115332,377733,3
115332,377734,3
115332,377735,4
115332,377736,4
115332,377740,3
115332,377742,4
115332,377750,4
115332,377856,5
115332,377862,5
115332,378368,4
115332,378370,5
115332,378371,6
115332,378372,3
115332,378374,4
115332,378496,3
115332,378500,2
115332,378502,3
115332,378624,5
115332,378626,6
115332,378628,4
115332,378630,5
115332,378752,4
115332,378754,5
115332,378756,3
115332,378757,4
115332,378758,4
115332,378760,5
115332,378766,5
115332,379776,4
115332,379782,4
115332,380422,5
115332,380676,5
115332,380678,6
115332,380800,5
115332,380804,4
115332,380806,5
115332,385024,5
115332,385028,4
115332,385280,6
115332,385536,4
115332,385538,5
115332,385540,3
115332,385542,4
115332,385664,3
115332,385665,4
115332,385666,4
115332,385668,2
115332,385670,3
115332,385792,5
115332,385794,6
115332,385796,4
115332,385798,5
115332,385920,4
115332,385921,5
115332,385922,5
115332,385924,3
115332,385926,4
115332,385928,5
115332,385932,4
115332,385934,5
115332,386176,5
115332,386560,5
115332,386562,6
115332,386563,7
115332,386564,4
115332,386566,5
115332,386688,4
115332,386690,5
115332,386691,6
115332,386692,3
115332,386694,4
115332,386822,6
115332,386944,5
115332,386945,6
115332,386946,6
115332,386948,4
115332,386950,5
115332,386958,6
115332,387712,4
115332,387714,5
115332,387846,6
115332,387968,5
115332,387970,6
115332,387974,5
115332,387976,6
115332,388610,7
115332,388614,6
115332,388736,5
115332,388738,6
115332,388740,4
115332,388741,5
115332,388743,6
115332,388994,7
115332,388996,5
115332,388998,6
115332,390016,5
115332,390020,4
115332,391040,6
115332,392070,6
115332,394628,8
115332,394630,9
115332,394694,10
115332,410112,6
115332,418304,7
115332,425983,15
115332,426496,6
115332,427520,7
115332,427912,8
115332,427913,9
115332,428934,7
115332,435712,8
115332,435968,9
115332,436097,9
115332,436105,10
115332,442880,5
115332,450688,6
115332,450689,7
115332,451072,6
115332,451200,5
115332,451201,6
115332,451457,7
115332,452481,8
115332,458751,14
115332,459648,6
115332,459776,8
115332,460288,7
115332,467840,7
115332,468480,8
115332,468736,9
115332,483840,6
115332,487174,9
115332,491520,6
115332,491522,7
115332,491526,6
115332,492032,5
115332,492034,6
115332,492164,3
115332,492165,4
115332,492416,5
115332,492418,6
115332,492420,4
115332,492422,5
115332,492423,6
115332,492424,6
115332,492544,7
115332,493056,6
115332,493313,8
115332,493315,9
115332,493318,7
115332,493440,6
115332,493442,7
115332,493443,8
115332,493444,5
115332,493446,6
115332,493448,7
115332,494342,7
115332,494470,6
115332,495494,7
115332,495622,7
115332,496134,6
115332,496260,4
115332,496262,5
115332,500608,6
115332,500610,7
115332,500612,5
115332,500614,6
115332,500616,7
115332,500622,7
115332,501248,7
115332,501250,8
115332,501254,7
115332,501376,6
115332,501382,6
115332,501383,7
115332,501504,8
115332,501505,9
115332,501632,7
115332,501633,8
115332,501634,8
115332,501635,9
115332,501636,6
115332,501638,7
115332,501639,8
115332,501641,9
115332,501644,7
115332,501646,8
115332,503682,9
115332,503686,8
115332,507776,9
115332,507780,8
115332,507782,9
115332,507904,5
115332,507906,6
115332,507910,5
115332,508416,4
115332,508418,5
115332,508672,5
115332,508678,5
115332,508802,5
115332,508804,3
115332,508806,4
115332,508807,5
115332,509440,5
115332,509442,6
115332,509574,4
115332,509697,7
115332,509698,7
115332,509702,6
115332,509830,5
115332,510726,6
115332,511494,6
115332,511750,7
115332,511878,6
115332,516096,6
115332,516098,7
115332,516099,8
115332,516354,8
115332,516608,5
115332,516610,6
115332,516614,5
115332,516615,6
115332,516741,4
115332,516742,4
115332,516743,5
115332,516864,6
115332,516866,7
115332,516870,6
115332,516992,5
115332,516994,6
115332,516996,4
115332,516997,5
115332,516998,5
115332,517000,6
115332,517004,5
115332,517006,6
115332,517634,7
115332,517635,8
115332,517638,6
115332,517639,7
115332,517767,6
115332,517889,8
115332,517890,8
115332,517894,7
115332,518016,6
115332,518017,7
115332,518018,7
115332,518020,5
115332,518021,6
115332,518022,6
115332,518656,6
115332,518658,7
115332,518662,6
115332,518784,5
115332,518914,8
115332,518918,7
115332,519046,6
115332,519682,8
115332,519815,7
115332,519938,9
115332,519942,8
115332,520066,8
115332,520068,6
115332,520070,7
115332,522752,7
115332,523263,12
115332,524034,10
115332,524164,7
115332,524287,13
115332,524672,7
115332,525184,6
115332,532864,8
115332,541584,6
115332,541616,7
115332,557440,6
115332,557702,4
115332,558726,5
115332,559104,7
115332,567170,8
115332,573958,4
115332,574084,2
115332,574086,3
115332,574342,4
115332,582150,5
115332,582534,5
115332,583558,6
115332,591362,7
115332,607110,4
115332,607120,5
115332,622592,5
115332,622596,4
115332,622720,4
115332,622724,3
115332,623104,4
115332,623105,5
115332,623106,5
115332,623108,3
115332,623232,3
115332,623233,4
115332,623236,2
115332,623237,3
115332,623488,4
115332,623492,3
115332,623494,4
115332,623504,5
115332,623620,5
115332,624128,5
115332,624130,6
115332,624132,4
115332,624134,5
115332,624256,4
115332,624258,5
115332,624261,4
115332,624262,4
115332,624386,7
115332,624512,5
115332,624514,6
115332,624518,5
115332,624519,6
115332,624640,6
115332,625152,5
115332,625280,4
115332,625281,5
115332,625542,5
115332,626176,6
115332,626182,6
115332,626560,6
115332,626562,7
115332,626564,5
115332,626566,6
115332,630662,7
115332,631296,5
115332,631297,6
115332,631298,6
115332,631424,4
115332,631680,5
115332,631682,6
115332,631684,4
115332,632320,6
115332,632322,7
115332,632448,5
115332,632450,6
115332,632452,4
115332,632454,5
115332,632704,6
115332,632706,7
115332,632707,8
115332,632710,6
115332,633344,6
115332,633728,6
115332,634368,7
115332,634370,8
115332,634374,7
115332,634496,6
115332,634498,7
115332,634502,6
115332,634503,7
115332,634752,7
115332,634754,8
115332,634756,6
115332,634758,7
115332,638598,7
115332,638599,8
115332,638848,8
115332,638850,9
115332,638854,8
115332,638870,9
115332,638886,9
115332,638902,10
115332,638976,4
115332,638980,3
115332,639488,3
115332,639490,4
115332,639492,2
115332,639494,3
115332,639616,2
115332,639617,3
115332,639620,1
115332,639621,2
115332,639622,2
115332,639750,4
115332,639872,3
115332,639876,2
115332,639878,3
115332,639888,4
115332,640004,4
115332,640516,3
115332,640518,4
115332,640646,3
115332,640772,4
115332,640774,5
115332,640902,4
115332,641542,4
115332,641668,2
115332,641670,3
115332,641798,5
115332,642566,5
115332,642950,5
115332,643984,5
115332,645638,5
115332,646662,6
115332,647680,4
115332,647682,5
115332,647687,5
115332,647808,3
115332,647812,2
115332,647814,3
115332,647815,4
115332,648064,4
115332,648066,5
115332,648068,3
115332,648070,4
115332,648704,5
115332,648710,5
115332,648836,3
115332,648838,4
115332,648962,7
115332,648966,6
115332,649093,5
115332,649094,5
115332,649095,6
115332,649728,5
115332,649734,5
115332,649735,6
115332,649860,3
115332,649862,4
115332,649863,5
115332,649990,6
115332,650112,5
115332,650118,5
115332,650752,6
115332,650753,7
115332,650754,7
115332,650756,5
115332,650758,6
115332,650884,4
115332,650886,5
115332,651010,8
115332,651014,7
115332,651141,6
115332,651142,6
115332,651174,7
115332,651782,5
115332,651910,4
115332,653562,11
115332,653566,10
115332,653567,11
115332,653830,6
115332,653982,7
115332,654014,8
115332,654074,10
115332,654078,9
115332,654214,6
115332,654215,7
115332,654334,10
115332,654978,7
115332,655234,8
115332,655286,9
115332,689026,7
115332,691203,11
115332,691207,10
