config_id,hamming
1027974,3
1025926,4
1027974,3
1025926,4
1042310,5
1042311,4
1041287,5
1041286,6
516998,7
516998,7
519046,6
520070,5
519046,6
520070,5
1044358,4
1042310,5
1025926,4
1017734,5
1017730,6
493442,7
493446,6
1017734,5
1025926,4
1025926,4
1024902,5
1041286,6
1033094,7
1033094,7
1033094,7
508806,8
509830,7
378758,8
509830,7
509828,8
493444,7
493444,7
493446,6
501638,5
501639,4
1025927,3
1025927,3
1025926,4
1025926,4
1025926,4
1042310,5
1042310,5
1025926,4
1025926,4
1027974,3
1027974,3
1027718,4
1027974,3
1025926,4
1027974,3
1027975,2
1025927,3
1025926,4
894854,5
894598,6
632454,5
632486,6
632482,7
632450,6
634498,5
634502,4
634758,3
765830,2
1027974,3
1025926,4
1025958,5
1025926,4
1027974,3
1027975,2
1027975,2
1027975,2
503687,3
1027975,2
1027975,2
1027975,2
1044359,3
1027975,2
1027974,3
1027974,3
503686,4
520070,5
1044358,4
520070,5
1044358,4
1042310,5
1044358,4
1044359,3
1042311,4
1044359,3
1027975,2
1027975,2
503687,3
503686,4
1027974,3
1027970,4
765826,3
765826,3
765830,2
782214,3
786310,2
769926,1
769926,1
786310,2
655238,3
130950,4
114566,3
110470,4
634758,3
634758,3
632710,4
634758,3
634754,4
634754,4
634758,3
765830,2
765830,2
634758,3
634790,4
634758,3
634758,3
110470,4
372614,5
370566,6
501638,5
501510,6
501254,7
501382,6
501638,5
501638,5
1025926,4
1025926,4
1017734,5
1025926,4
1042310,5
1025926,4
1017734,5
1025926,4
1027974,3
896902,4
1027974,3
1032070,2
1027974,3
1027975,2
1027971,3
1027971,3
1027970,4
1027970,4
1044354,5
1044358,4
1027974,3
896902,4
913286,5
913286,5
911238,6
894854,5
1025926,4
1025926,4
1025927,3
1027975,2
1025927,3
1027975,2
1032071,1
1027975,2
765831,1
1027975,2
1025927,3
1027975,2
1027975,2
1044359,3
1044358,4
1027974,3
1044358,4
1027974,3
1027974,3
1027974,3
1027974,3
1025926,4
1025927,3
1027975,2
1027974,3
1025926,4
1024902,5
1025926,4
763782,3
1025926,4
1025926,4
1017734,5
493446,6
509830,7
493446,6
362374,7
362118,8
362374,7
362372,8
362374,7
493446,6
362374,7
362246,8
362374,7
378758,8
362374,7
362246,8
362374,7
362370,8
362370,8
362374,7
886662,6
362374,7
886662,6
886662,6
894854,5
1025926,4
1025922,5
1025926,4
1042310,5
1042311,4
1042311,4
1044359,3
1044358,4
1042310,5
1041286,6
1042310,5
1044358,4
1044358,4
1027974,3
1025926,4
1027974,3
1044358,4
520070,5
524166,4
507782,3
507782,3
507782,3
524166,4
1048454,3
1046406,4
1048454,3
1032070,2
1032071,1
1027975,2
1025927,3
1025925,4
1025927,3
1027975,2
1032071,1
1027975,2
1025927,3
1027975,2
1027975,2
1027975,2
1044359,3
1044358,4
1027974,3
1027975,2
1027974,3
1025926,4
1025926,4
1025922,5
1025926,4
501638,5
1025926,4
894854,5
896902,4
894854,5
370566,6
372614,5
370566,6
370566,6
372614,5
370566,6
362374,7
370566,6
370566,6
370567,5
370566,6
501638,5
501638,5
370566,6
372614,5
503686,4
520070,5
1044358,4
1048454,3
1048455,2
786311,1
786343,2
786342,3
769958,2
769926,1
638854,2
638854,2
634758,3
634754,4
634758,3
638854,2
634758,3
638854,2
769926,1
769670,2
769926,1
